0,1,2,3,4,5,6
"{'key': 'rank', 'value': '742'}","{'key': 'fullName', 'value': 'Hubbell Incorporated'}","{'key': 'revenues', 'value': '2541.20'}","{'key': 'industry', 'value': 'Electronics, Electrical Equip.'}","{'key': 'hqCity', 'value': 'Shelton'}","{'key': 'hqState', 'value': 'CT'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Hubbell Incorporated'}"
"{'key': 'rank', 'value': '743'}","{'key': 'fullName', 'value': 'Iasis Healthcare LLC'}","{'key': 'revenues', 'value': '2521.50'}","{'key': 'industry', 'value': 'Health Care: Medical Facilities'}","{'key': 'hqCity', 'value': 'Franklin'}","{'key': 'hqState', 'value': 'TN'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Iasis Healthcare LLC'}"
"{'key': 'rank', 'value': '750'}","{'key': 'fullName', 'value': 'Southern Union Company'}","{'key': 'revenues', 'value': '2489.90'}","{'key': 'industry', 'value': 'Utilities: Gas and Electric'}","{'key': 'hqCity', 'value': 'Houston'}","{'key': 'hqState', 'value': 'TX'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Southern Union Company'}"
"{'key': 'rank', 'value': '749'}","{'key': 'fullName', 'value': 'Universal Corporation'}","{'key': 'revenues', 'value': '2491.70'}","{'key': 'industry', 'value': 'Tobacco'}","{'key': 'hqCity', 'value': 'Richmond'}","{'key': 'hqState', 'value': 'VA'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Universal Corporation'}"
"{'key': 'rank', 'value': '748'}","{'key': 'fullName', 'value': 'Burger King Holdings, Inc.'}","{'key': 'revenues', 'value': '2502.20'}","{'key': 'industry', 'value': 'Food Services'}","{'key': 'hqCity', 'value': 'Miami'}","{'key': 'hqState', 'value': 'FL'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Burger King Holdings, Inc.'}"
"{'key': 'rank', 'value': '761'}","{'key': 'fullName', 'value': 'Pinnacle Foods Finance LLC'}","{'key': 'revenues', 'value': '2436.70'}","{'key': 'industry', 'value': 'Food Consumer Products'}","{'key': 'hqCity', 'value': 'Mountain Lakes'}","{'key': 'hqState', 'value': 'NJ'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Pinnacle Foods Finance LLC'}"
"{'key': 'rank', 'value': '759'}","{'key': 'fullName', 'value': 'Sentry Insurance Group'}","{'key': 'revenues', 'value': '2457.80'}","{'key': 'industry', 'value': 'Insurance: Property and Casualty (Mutual)'}","{'key': 'hqCity', 'value': 'Stevens Point'}","{'key': 'hqState', 'value': 'WI'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Sentry Insurance Group'}"
"{'key': 'rank', 'value': '760'}","{'key': 'fullName', 'value': 'Lender Processing Services, Inc.'}","{'key': 'revenues', 'value': '2456.30'}","{'key': 'industry', 'value': 'Financial Data Services'}","{'key': 'hqCity', 'value': 'Jacksonville'}","{'key': 'hqState', 'value': 'FL'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Lender Processing Services, Inc.'}"
"{'key': 'rank', 'value': '757'}","{'key': 'fullName', 'value': 'American Tire Distributors Holdings, Inc.'}","{'key': 'revenues', 'value': '2460.20'}","{'key': 'industry', 'value': 'Wholesalers: Diversified'}","{'key': 'hqCity', 'value': 'Huntersville'}","{'key': 'hqState', 'value': 'NC'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'American Tire Distributors Holdings, Inc.'}"
"{'key': 'rank', 'value': '758'}","{'key': 'fullName', 'value': 'Penn National Gaming, Inc.'}","{'key': 'revenues', 'value': '2459.10'}","{'key': 'industry', 'value': 'Hotels, Casinos, Resorts'}","{'key': 'hqCity', 'value': 'Wyomissing'}","{'key': 'hqState', 'value': 'PA'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Penn National Gaming, Inc.'}"
"{'key': 'rank', 'value': '752'}","{'key': 'fullName', 'value': 'AMETEK, Inc.'}","{'key': 'revenues', 'value': '2471.00'}","{'key': 'industry', 'value': 'Scientific,Photographic and Control Equipment'}","{'key': 'hqCity', 'value': 'Berwyn'}","{'key': 'hqState', 'value': 'PA'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'AMETEK, Inc.'}"
"{'key': 'rank', 'value': '751'}","{'key': 'fullName', 'value': 'Guess?, Inc.'}","{'key': 'revenues', 'value': '2487.30'}","{'key': 'industry', 'value': 'Apparel'}","{'key': 'hqCity', 'value': 'Los Angeles'}","{'key': 'hqState', 'value': 'CA'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Guess?, Inc.'}"
"{'key': 'rank', 'value': '768'}","{'key': 'fullName', 'value': 'Cracker Barrel Old Country Store, Inc.'}","{'key': 'revenues', 'value': '2404.50'}","{'key': 'industry', 'value': 'Food Services'}","{'key': 'hqCity', 'value': 'Lebanon'}","{'key': 'hqState', 'value': 'TN'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Cracker Barrel Old Country Store, Inc.'}"
"{'key': 'rank', 'value': '763'}","{'key': 'fullName', 'value': 'United Refining Company'}","{'key': 'revenues', 'value': '2435.60'}","{'key': 'industry', 'value': 'Petroleum Refining'}","{'key': 'hqCity', 'value': 'Warren'}","{'key': 'hqState', 'value': 'PA'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'United Refining Company'}"
"{'key': 'rank', 'value': '767'}","{'key': 'fullName', 'value': 'Oil States International, Inc.'}","{'key': 'revenues', 'value': '2412.00'}","{'key': 'industry', 'value': 'Oil and Gas Equipment, Services'}","{'key': 'hqCity', 'value': 'Houston'}","{'key': 'hqState', 'value': 'TX'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Oil States International, Inc.'}"
"{'key': 'rank', 'value': '762'}","{'key': 'fullName', 'value': 'Packaging Corporation of America'}","{'key': 'revenues', 'value': '2435.60'}","{'key': 'industry', 'value': 'Packaging, Containers'}","{'key': 'hqCity', 'value': 'Lake Forest'}","{'key': 'hqState', 'value': 'IL'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Packaging Corporation of America'}"
"{'key': 'rank', 'value': '756'}","{'key': 'fullName', 'value': 'Newegg Inc.'}","{'key': 'revenues', 'value': '2460.60'}","{'key': 'industry', 'value': 'Specialty Retailers: Other'}","{'key': 'hqCity', 'value': 'City of Industry'}","{'key': 'hqState', 'value': 'CA'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Newegg Inc.'}"
"{'key': 'rank', 'value': '766'}","{'key': 'fullName', 'value': 'Cooper-Standard Holdings Inc.'}","{'key': 'revenues', 'value': '2414.10'}","{'key': 'industry', 'value': 'Motor Vehicles and Parts'}","{'key': 'hqCity', 'value': 'Novi'}","{'key': 'hqState', 'value': 'MI'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Cooper-Standard Holdings Inc.'}"
"{'key': 'rank', 'value': '755'}","{'key': 'fullName', 'value': 'Exterran Holdings, Inc.'}","{'key': 'revenues', 'value': '2464.50'}","{'key': 'industry', 'value': 'Oil and Gas Equipment, Services'}","{'key': 'hqCity', 'value': 'Houston'}","{'key': 'hqState', 'value': 'TX'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Exterran Holdings, Inc.'}"
"{'key': 'rank', 'value': '765'}","{'key': 'fullName', 'value': 'AMC Entertainment, Inc.'}","{'key': 'revenues', 'value': '2417.70'}","{'key': 'industry', 'value': 'Entertainment'}","{'key': 'hqCity', 'value': 'Kansas City'}","{'key': 'hqState', 'value': 'MO'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'AMC Entertainment, Inc.'}"
"{'key': 'rank', 'value': '754'}","{'key': 'fullName', 'value': 'Brown-Forman Corporation'}","{'key': 'revenues', 'value': '2469.00'}","{'key': 'industry', 'value': 'Beverages'}","{'key': 'hqCity', 'value': 'Louisville'}","{'key': 'hqState', 'value': 'KY'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Brown-Forman Corporation'}"
"{'key': 'rank', 'value': '753'}","{'key': 'fullName', 'value': 'LKQ Corporation'}","{'key': 'revenues', 'value': '2470.60'}","{'key': 'industry', 'value': 'Motor Vehicles and Parts'}","{'key': 'hqCity', 'value': 'Chicago'}","{'key': 'hqState', 'value': 'IL'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'LKQ Corporation'}"
"{'key': 'rank', 'value': '764'}","{'key': 'fullName', 'value': 'AOL Inc.'}","{'key': 'revenues', 'value': '2418.70'}","{'key': 'industry', 'value': 'Internet Services and Retailing'}","{'key': 'hqCity', 'value': 'New York'}","{'key': 'hqState', 'value': 'NY'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'AOL Inc.'}"
"{'key': 'rank', 'value': '773'}","{'key': 'fullName', 'value': 'E*Trade Financial Corporation'}","{'key': 'revenues', 'value': '2398.30'}","{'key': 'industry', 'value': 'Securities'}","{'key': 'hqCity', 'value': 'New York'}","{'key': 'hqState', 'value': 'NY'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'E*Trade Financial Corporation'}"
"{'key': 'rank', 'value': '774'}","{'key': 'fullName', 'value': 'The New York Times Company'}","{'key': 'revenues', 'value': '2393.50'}","{'key': 'industry', 'value': 'Publishing, Printing'}","{'key': 'hqCity', 'value': 'New York'}","{'key': 'hqState', 'value': 'NY'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'The New York Times Company'}"
"{'key': 'rank', 'value': '772'}","{'key': 'fullName', 'value': 'Landstar System, Inc.'}","{'key': 'revenues', 'value': '2400.20'}","{'key': 'industry', 'value': 'Trucking, Truck Leasing'}","{'key': 'hqCity', 'value': 'Jacksonville'}","{'key': 'hqState', 'value': 'FL'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Landstar System, Inc.'}"
"{'key': 'rank', 'value': '783'}","{'key': 'fullName', 'value': 'T. Rowe Price Group, Inc.'}","{'key': 'revenues', 'value': '2370.70'}","{'key': 'industry', 'value': 'Securities'}","{'key': 'hqCity', 'value': 'Baltimore'}","{'key': 'hqState', 'value': 'MD'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'T. Rowe Price Group, Inc.'}"
"{'key': 'rank', 'value': '782'}","{'key': 'fullName', 'value': 'AGL Resources, Inc.'}","{'key': 'revenues', 'value': '2373.00'}","{'key': 'industry', 'value': 'Utilities: Gas and Electric'}","{'key': 'hqCity', 'value': 'Atlanta'}","{'key': 'hqState', 'value': 'GA'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'AGL Resources, Inc.'}"
"{'key': 'rank', 'value': '770'}","{'key': 'fullName', 'value': 'Pall Corporation'}","{'key': 'revenues', 'value': '2401.90'}","{'key': 'industry', 'value': 'Industrial Machinery'}","{'key': 'hqCity', 'value': 'Port Washington'}","{'key': 'hqState', 'value': 'NY'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Pall Corporation'}"
"{'key': 'rank', 'value': '781'}","{'key': 'fullName', 'value': 'Ascena Retail Group, Inc.'}","{'key': 'revenues', 'value': '2374.60'}","{'key': 'industry', 'value': 'Specialty Retailers: Apparel'}","{'key': 'hqCity', 'value': 'Suffern'}","{'key': 'hqState', 'value': 'NY'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Ascena Retail Group, Inc.'}"
"{'key': 'rank', 'value': '769'}","{'key': 'fullName', 'value': 'Benchmark Electronics, Inc.'}","{'key': 'revenues', 'value': '2402.10'}","{'key': 'industry', 'value': 'Semiconductors and Other Electronic Components'}","{'key': 'hqCity', 'value': 'Angleton'}","{'key': 'hqState', 'value': 'TX'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Benchmark Electronics, Inc.'}"
"{'key': 'rank', 'value': '780'}","{'key': 'fullName', 'value': 'Medical Mutual of Ohio'}","{'key': 'revenues', 'value': '2374.60'}","{'key': 'industry', 'value': 'Health Care: Insurance and Managed Care'}","{'key': 'hqCity', 'value': 'Cleveland'}","{'key': 'hqState', 'value': 'OH'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Medical Mutual of Ohio'}"
"{'key': 'rank', 'value': '778'}","{'key': 'fullName', 'value': 'Roper Industries, Inc.'}","{'key': 'revenues', 'value': '2386.10'}","{'key': 'industry', 'value': 'Scientific,Photographic and Control Equipment'}","{'key': 'hqCity', 'value': 'Sarasota'}","{'key': 'hqState', 'value': 'FL'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Roper Industries, Inc.'}"
"{'key': 'rank', 'value': '779'}","{'key': 'fullName', 'value': 'QEP Resources, Inc.'}","{'key': 'revenues', 'value': '2377.60'}","{'key': 'industry', 'value': 'Mining, Crude-Oil Production'}","{'key': 'hqCity', 'value': 'Denver'}","{'key': 'hqState', 'value': 'CO'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'QEP Resources, Inc.'}"
"{'key': 'rank', 'value': '776'}","{'key': 'fullName', 'value': 'West Corporation'}","{'key': 'revenues', 'value': '2388.20'}","{'key': 'industry', 'value': 'Diversified Outsourcing Services'}","{'key': 'hqCity', 'value': 'Omaha'}","{'key': 'hqState', 'value': 'NE'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'West Corporation'}"
"{'key': 'rank', 'value': '777'}","{'key': 'fullName', 'value': 'Towers Watson &amp; Co.'}","{'key': 'revenues', 'value': '2387.80'}","{'key': 'industry', 'value': 'Diversified Outsourcing Services'}","{'key': 'hqCity', 'value': 'New York'}","{'key': 'hqState', 'value': 'NY'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Towers Watson &amp; Co.'}"
"{'key': 'rank', 'value': '775'}","{'key': 'fullName', 'value': 'Select Medical Holdings Corporation'}","{'key': 'revenues', 'value': '2390.30'}","{'key': 'industry', 'value': 'Health Care: Medical Facilities'}","{'key': 'hqCity', 'value': 'Mechanicsburg'}","{'key': 'hqState', 'value': 'PA'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Select Medical Holdings Corporation'}"
"{'key': 'rank', 'value': '785'}","{'key': 'fullName', 'value': 'Regis Corporation'}","{'key': 'revenues', 'value': '2358.40'}","{'key': 'industry', 'value': 'Specialty Retailers: Other'}","{'key': 'hqCity', 'value': 'Edina'}","{'key': 'hqState', 'value': 'MN'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Regis Corporation'}"
"{'key': 'rank', 'value': '796'}","{'key': 'fullName', 'value': 'MasTec, Inc.'}","{'key': 'revenues', 'value': '2308.00'}","{'key': 'industry', 'value': 'Engineering, Construction'}","{'key': 'hqCity', 'value': 'Coral Gables'}","{'key': 'hqState', 'value': 'FL'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'MasTec, Inc.'}"
"{'key': 'rank', 'value': '784'}","{'key': 'fullName', 'value': 'Albemarle Corporation'}","{'key': 'revenues', 'value': '2362.80'}","{'key': 'industry', 'value': 'Chemicals'}","{'key': 'hqCity', 'value': 'Baton Rouge'}","{'key': 'hqState', 'value': 'LA'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Albemarle Corporation'}"
"{'key': 'rank', 'value': '795'}","{'key': 'fullName', 'value': 'Alliance One International, Inc.'}","{'key': 'revenues', 'value': '2308.30'}","{'key': 'industry', 'value': 'Tobacco'}","{'key': 'hqCity', 'value': 'Morrisville'}","{'key': 'hqState', 'value': 'NC'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Alliance One International, Inc.'}"
"{'key': 'rank', 'value': '793'}","{'key': 'fullName', 'value': 'Schnitzer Steel Industries, Inc.'}","{'key': 'revenues', 'value': '2311.20'}","{'key': 'industry', 'value': 'Metals'}","{'key': 'hqCity', 'value': 'Portland'}","{'key': 'hqState', 'value': 'OR'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Schnitzer Steel Industries, Inc.'}"
"{'key': 'rank', 'value': '794'}","{'key': 'fullName', 'value': 'Convergys Corporation'}","{'key': 'revenues', 'value': '2310.60'}","{'key': 'industry', 'value': 'Diversified Outsourcing Services'}","{'key': 'hqCity', 'value': 'Cincinnati'}","{'key': 'hqState', 'value': 'OH'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Convergys Corporation'}"
"{'key': 'rank', 'value': '791'}","{'key': 'fullName', 'value': 'Dynegy Inc.'}","{'key': 'revenues', 'value': '2323.00'}","{'key': 'industry', 'value': 'Energy'}","{'key': 'hqCity', 'value': 'Houston'}","{'key': 'hqState', 'value': 'TX'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Dynegy Inc.'}"
"{'key': 'rank', 'value': '792'}","{'key': 'fullName', 'value': 'ON Semiconductor Corporation'}","{'key': 'revenues', 'value': '2313.40'}","{'key': 'industry', 'value': 'Semiconductors and Other Electronic Components'}","{'key': 'hqCity', 'value': 'Phoenix'}","{'key': 'hqState', 'value': 'AZ'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'ON Semiconductor Corporation'}"
"{'key': 'rank', 'value': '790'}","{'key': 'fullName', 'value': 'DST Systems, Inc.'}","{'key': 'revenues', 'value': '2328.50'}","{'key': 'industry', 'value': 'Financial Data Services'}","{'key': 'hqCity', 'value': 'Kansas City'}","{'key': 'hqState', 'value': 'MO'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'DST Systems, Inc.'}"
"{'key': 'rank', 'value': '788'}","{'key': 'fullName', 'value': 'Perrigo Company'}","{'key': 'revenues', 'value': '2341.50'}","{'key': 'industry', 'value': 'Pharmaceuticals'}","{'key': 'hqCity', 'value': 'Allegan'}","{'key': 'hqState', 'value': 'MI'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Perrigo Company'}"
"{'key': 'rank', 'value': '789'}","{'key': 'fullName', 'value': 'Valassis Communications, Inc.'}","{'key': 'revenues', 'value': '2333.50'}","{'key': 'industry', 'value': 'Publishing, Printing'}","{'key': 'hqCity', 'value': 'Livonia'}","{'key': 'hqState', 'value': 'MI'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Valassis Communications, Inc.'}"
"{'key': 'rank', 'value': '787'}","{'key': 'fullName', 'value': 'EchoStar Corporation'}","{'key': 'revenues', 'value': '2350.40'}","{'key': 'industry', 'value': 'Network and Other Communications Equipment'}","{'key': 'hqCity', 'value': 'Englewood'}","{'key': 'hqState', 'value': 'CO'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'EchoStar Corporation'}"
"{'key': 'rank', 'value': '797'}","{'key': 'fullName', 'value': 'HCC Insurance Holdings, Inc.'}","{'key': 'revenues', 'value': '2302.30'}","{'key': 'industry', 'value': 'Insurance: Property and Casualty (Stock)'}","{'key': 'hqCity', 'value': 'Houston'}","{'key': 'hqState', 'value': 'TX'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'HCC Insurance Holdings, Inc.'}"
"{'key': 'rank', 'value': '786'}","{'key': 'fullName', 'value': 'Varian Medical Systems, Inc.'}","{'key': 'revenues', 'value': '2353.00'}","{'key': 'industry', 'value': 'Medical Products and Equipment'}","{'key': 'hqCity', 'value': 'Palo Alto'}","{'key': 'hqState', 'value': 'CA'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Varian Medical Systems, Inc.'}"
"{'key': 'rank', 'value': '800'}","{'key': 'fullName', 'value': 'The Warnaco Group, Inc.'}","{'key': 'revenues', 'value': '2297.10'}","{'key': 'industry', 'value': 'Apparel'}","{'key': 'hqCity', 'value': 'New York'}","{'key': 'hqState', 'value': 'NY'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'The Warnaco Group, Inc.'}"
"{'key': 'rank', 'value': '798'}","{'key': 'fullName', 'value': 'Tupperware Brands Corporation'}","{'key': 'revenues', 'value': '2300.40'}","{'key': 'industry', 'value': 'Household and Personal Products'}","{'key': 'hqCity', 'value': 'Orlando'}","{'key': 'hqState', 'value': 'FL'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Tupperware Brands Corporation'}"
"{'key': 'rank', 'value': '799'}","{'key': 'fullName', 'value': 'Jack in the Box Inc.'}","{'key': 'revenues', 'value': '2297.50'}","{'key': 'industry', 'value': 'Food Services'}","{'key': 'hqCity', 'value': 'San Diego'}","{'key': 'hqState', 'value': 'CA'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Jack in the Box Inc.'}"
"{'key': 'rank', 'value': '902'}","{'key': 'fullName', 'value': 'Express Inc.'}","{'key': 'revenues', 'value': '1905.80'}","{'key': 'industry', 'value': 'Specialty Retailers: Apparel'}","{'key': 'hqCity', 'value': 'Columbus'}","{'key': 'hqState', 'value': 'OH'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Express Inc.'}"
"{'key': 'rank', 'value': '901'}","{'key': 'fullName', 'value': 'Sun Healthcare Group, Inc.'}","{'key': 'revenues', 'value': '1907.70'}","{'key': 'industry', 'value': 'Health Care: Medical Facilities'}","{'key': 'hqCity', 'value': 'Irvine'}","{'key': 'hqState', 'value': 'CA'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Sun Healthcare Group, Inc.'}"
"{'key': 'rank', 'value': '999'}","{'key': 'fullName', 'value': 'Amedisys, Inc.'}","{'key': 'revenues', 'value': '1634.30'}","{'key': 'industry', 'value': 'Health Care: Pharmacy and Other Services'}","{'key': 'hqCity', 'value': 'Baton Rouge'}","{'key': 'hqState', 'value': 'LA'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Amedisys, Inc.'}"
"{'key': 'rank', 'value': '1000'}","{'key': 'fullName', 'value': 'Acuity Brands, Inc.'}","{'key': 'revenues', 'value': '1626.90'}","{'key': 'industry', 'value': 'Electronics, Electrical Equip.'}","{'key': 'hqCity', 'value': 'Atlanta'}","{'key': 'hqState', 'value': 'GA'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Acuity Brands, Inc.'}"
"{'key': 'rank', 'value': '997'}","{'key': 'fullName', 'value': 'BioScrip, Inc.'}","{'key': 'revenues', 'value': '1638.60'}","{'key': 'industry', 'value': 'Health Care: Pharmacy and Other Services'}","{'key': 'hqCity', 'value': 'Elmsford'}","{'key': 'hqState', 'value': 'NY'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'BioScrip, Inc.'}"
"{'key': 'rank', 'value': '998'}","{'key': 'fullName', 'value': 'American Greetings Corporation'}","{'key': 'revenues', 'value': '1635.90'}","{'key': 'industry', 'value': 'Publishing, Printing'}","{'key': 'hqCity', 'value': 'Cleveland'}","{'key': 'hqState', 'value': 'OH'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'American Greetings Corporation'}"
"{'key': 'rank', 'value': '996'}","{'key': 'fullName', 'value': 'Tellabs, Inc.'}","{'key': 'revenues', 'value': '1642.30'}","{'key': 'industry', 'value': 'Network and Other Communications Equipment'}","{'key': 'hqCity', 'value': 'Naperville'}","{'key': 'hqState', 'value': 'IL'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Tellabs, Inc.'}"
"{'key': 'rank', 'value': '994'}","{'key': 'fullName', 'value': 'Atmel Corporation'}","{'key': 'revenues', 'value': '1644.10'}","{'key': 'industry', 'value': 'Semiconductors and Other Electronic Components'}","{'key': 'hqCity', 'value': 'San Jose'}","{'key': 'hqState', 'value': 'CA'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Atmel Corporation'}"
"{'key': 'rank', 'value': '995'}","{'key': 'fullName', 'value': 'Waters Corporation'}","{'key': 'revenues', 'value': '1643.40'}","{'key': 'industry', 'value': 'Scientific,Photographic and Control Equipment'}","{'key': 'hqCity', 'value': 'Milford'}","{'key': 'hqState', 'value': 'MA'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Waters Corporation'}"
