0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
"{'key': 'rank', 'value': '348'}","{'key': 'revenues', 'value': '7763'}","{'key': 'revchange', 'value': '-39.5'}","{'key': 'profits', 'value': '245'}","{'key': 'prftchange', 'value': '-22'}","{'key': 'assets', 'value': '15446'}","{'key': 'employees', 'value': '2364'}","{'key': 'mktval', 'value': '6270'}","{'key': 'sector', 'value': 'Energy'}","{'key': 'industry', 'value': 'Pipelines'}","{'key': 'hqcity', 'value': 'Tulsa'}","{'key': 'hqstate', 'value': 'OK'}","{'key': 'rankgain', 'value': 'no'}","{'key': 'rankdrop', 'value': 'yes'}","{'key': 'newcomer', 'value': 'no'}","{'key': 'profitable', 'value': 'yes'}","{'key': 'ceofounder', 'value': 'no'}","{'key': 'ceoforeign', 'value': 'no'}","{'key': 'ceowoman', 'value': 'no'}","{'key': 'jobgrowth', 'value': 'yes'}","{'key': 'global500-y-n', 'value': 'no'}","{'key': 'best-companies-y-n', 'value': 'no'}","{'key': 'worlds-most-admired-companies-y-n', 'value': 'no'}","{'key': 'change-the-world-y-n', 'value': 'no'}","{'key': '100-fastest-growing-companies-y-n', 'value': 'no'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Oneok'}"
"{'key': 'rank', 'value': '19'}","{'key': 'revenues', 'value': '103444'}","{'key': 'revchange', 'value': '35.4'}","{'key': 'profits', 'value': '4220'}","{'key': 'prftchange', 'value': '118.4'}","{'key': 'assets', 'value': '68782'}","{'key': 'employees', 'value': '302500'}","{'key': 'mktval', 'value': '90874'}","{'key': 'sector', 'value': 'Food and Drug Stores'}","{'key': 'industry', 'value': 'Food and Drug Stores'}","{'key': 'hqcity', 'value': 'Deerfield'}","{'key': 'hqstate', 'value': 'IL'}","{'key': 'rankgain', 'value': 'yes'}","{'key': 'rankdrop', 'value': 'no'}","{'key': 'newcomer', 'value': 'no'}","{'key': 'profitable', 'value': 'yes'}","{'key': 'ceofounder', 'value': 'no'}","{'key': 'ceoforeign', 'value': 'yes'}","{'key': 'ceowoman', 'value': 'no'}","{'key': 'jobgrowth', 'value': 'yes'}","{'key': 'global500-y-n', 'value': 'yes'}","{'key': 'best-companies-y-n', 'value': 'no'}","{'key': 'worlds-most-admired-companies-y-n', 'value': 'yes'}","{'key': 'change-the-world-y-n', 'value': 'no'}","{'key': '100-fastest-growing-companies-y-n', 'value': 'no'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Walgreens Boots Alliance'}"
"{'key': 'rank', 'value': '258'}","{'key': 'revenues', 'value': '10885'}","{'key': 'revchange', 'value': '-28.8'}","{'key': 'profits', 'value': '176'}","{'key': 'prftchange', 'value': '-27.7'}","{'key': 'assets', 'value': '1886'}","{'key': 'employees', 'value': '7100'}","{'key': 'mktval', 'value': '2457'}","{'key': 'sector', 'value': 'Retailing'}","{'key': 'industry', 'value': 'Specialty Retailers: Other'}","{'key': 'hqcity', 'value': 'El Dorado'}","{'key': 'hqstate', 'value': 'AR'}","{'key': 'rankgain', 'value': 'no'}","{'key': 'rankdrop', 'value': 'yes'}","{'key': 'newcomer', 'value': 'no'}","{'key': 'profitable', 'value': 'yes'}","{'key': 'ceofounder', 'value': 'no'}","{'key': 'ceoforeign', 'value': 'no'}","{'key': 'ceowoman', 'value': 'no'}","{'key': 'jobgrowth', 'value': 'yes'}","{'key': 'global500-y-n', 'value': 'no'}","{'key': 'best-companies-y-n', 'value': 'no'}","{'key': 'worlds-most-admired-companies-y-n', 'value': 'no'}","{'key': 'change-the-world-y-n', 'value': 'no'}","{'key': '100-fastest-growing-companies-y-n', 'value': 'no'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Murphy USA'}"
"{'key': 'rank', 'value': '347'}","{'key': 'revenues', 'value': '7786'}","{'key': 'revchange', 'value': '-2.3'}","{'key': 'profits', 'value': '489'}","{'key': 'prftchange', 'value': '2.3'}","{'key': 'assets', 'value': '71058'}","{'key': 'employees', 'value': '1196'}","{'key': 'mktval', 'value': '6600'}","{'key': 'sector', 'value': 'Financials'}","{'key': 'industry', 'value': 'Securities'}","{'key': 'hqcity', 'value': 'New York'}","{'key': 'hqstate', 'value': 'NY'}","{'key': 'rankgain', 'value': 'yes'}","{'key': 'rankdrop', 'value': 'no'}","{'key': 'newcomer', 'value': 'no'}","{'key': 'profitable', 'value': 'yes'}","{'key': 'ceofounder', 'value': 'yes'}","{'key': 'ceoforeign', 'value': 'no'}","{'key': 'ceowoman', 'value': 'no'}","{'key': 'jobgrowth', 'value': 'no'}","{'key': 'global500-y-n', 'value': 'no'}","{'key': 'best-companies-y-n', 'value': 'no'}","{'key': 'worlds-most-admired-companies-y-n', 'value': 'no'}","{'key': 'change-the-world-y-n', 'value': 'no'}","{'key': '100-fastest-growing-companies-y-n', 'value': 'no'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'KKR'}"
"{'key': 'rank', 'value': '18'}","{'key': 'revenues', 'value': '107006'}","{'key': 'revchange', 'value': '20.2'}","{'key': 'profits', 'value': '596'}","{'key': 'prftchange', 'value': ''}","{'key': 'assets', 'value': '65444'}","{'key': 'employees', 'value': '230800'}","{'key': 'mktval', 'value': '279511'}","{'key': 'sector', 'value': 'Technology'}","{'key': 'industry', 'value': 'Internet Services and Retailing'}","{'key': 'hqcity', 'value': 'Seattle'}","{'key': 'hqstate', 'value': 'WA'}","{'key': 'rankgain', 'value': 'yes'}","{'key': 'rankdrop', 'value': 'no'}","{'key': 'newcomer', 'value': 'no'}","{'key': 'profitable', 'value': 'yes'}","{'key': 'ceofounder', 'value': 'yes'}","{'key': 'ceoforeign', 'value': 'no'}","{'key': 'ceowoman', 'value': 'no'}","{'key': 'jobgrowth', 'value': 'yes'}","{'key': 'global500-y-n', 'value': 'yes'}","{'key': 'best-companies-y-n', 'value': 'no'}","{'key': 'worlds-most-admired-companies-y-n', 'value': 'yes'}","{'key': 'change-the-world-y-n', 'value': 'no'}","{'key': '100-fastest-growing-companies-y-n', 'value': 'no'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Amazon.com'}"
"{'key': 'rank', 'value': '257'}","{'key': 'revenues', 'value': '11025'}","{'key': 'revchange', 'value': '-5.7'}","{'key': 'profits', 'value': '985'}","{'key': 'prftchange', 'value': '-3.6'}","{'key': 'assets', 'value': '39054'}","{'key': 'employees', 'value': '11644'}","{'key': 'mktval', 'value': '21226'}","{'key': 'sector', 'value': 'Energy'}","{'key': 'industry', 'value': 'Utilities: Gas and Electric'}","{'key': 'hqcity', 'value': 'Minneapolis'}","{'key': 'hqstate', 'value': 'MN'}","{'key': 'rankgain', 'value': 'no'}","{'key': 'rankdrop', 'value': 'yes'}","{'key': 'newcomer', 'value': 'no'}","{'key': 'profitable', 'value': 'yes'}","{'key': 'ceofounder', 'value': 'no'}","{'key': 'ceoforeign', 'value': 'no'}","{'key': 'ceowoman', 'value': 'no'}","{'key': 'jobgrowth', 'value': 'yes'}","{'key': 'global500-y-n', 'value': 'no'}","{'key': 'best-companies-y-n', 'value': 'no'}","{'key': 'worlds-most-admired-companies-y-n', 'value': 'yes'}","{'key': 'change-the-world-y-n', 'value': 'no'}","{'key': '100-fastest-growing-companies-y-n', 'value': 'no'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Xcel Energy'}"
"{'key': 'rank', 'value': '346'}","{'key': 'revenues', 'value': '7864'}","{'key': 'revchange', 'value': '45.6'}","{'key': 'profits', 'value': '183'}","{'key': 'prftchange', 'value': '31.9'}","{'key': 'assets', 'value': '3227'}","{'key': 'employees', 'value': '9574'}","{'key': 'mktval', 'value': '2246'}","{'key': 'sector', 'value': 'Retailing'}","{'key': 'industry', 'value': 'Automotive Retailing, Services'}","{'key': 'hqcity', 'value': 'Medford'}","{'key': 'hqstate', 'value': 'OR'}","{'key': 'rankgain', 'value': 'yes'}","{'key': 'rankdrop', 'value': 'no'}","{'key': 'newcomer', 'value': 'no'}","{'key': 'profitable', 'value': 'yes'}","{'key': 'ceofounder', 'value': 'no'}","{'key': 'ceoforeign', 'value': 'no'}","{'key': 'ceowoman', 'value': 'no'}","{'key': 'jobgrowth', 'value': 'yes'}","{'key': 'global500-y-n', 'value': 'no'}","{'key': 'best-companies-y-n', 'value': 'no'}","{'key': 'worlds-most-admired-companies-y-n', 'value': 'no'}","{'key': 'change-the-world-y-n', 'value': 'no'}","{'key': '100-fastest-growing-companies-y-n', 'value': 'yes'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Lithia Motors'}"
"{'key': 'rank', 'value': '17'}","{'key': 'revenues', 'value': '109830'}","{'key': 'revchange', 'value': '1.3'}","{'key': 'profits', 'value': '2039'}","{'key': 'prftchange', 'value': '18'}","{'key': 'assets', 'value': '33897'}","{'key': 'employees', 'value': '431000'}","{'key': 'mktval', 'value': '36815'}","{'key': 'sector', 'value': 'Food and Drug Stores'}","{'key': 'industry', 'value': 'Food and Drug Stores'}","{'key': 'hqcity', 'value': 'Cincinnati'}","{'key': 'hqstate', 'value': 'OH'}","{'key': 'rankgain', 'value': 'yes'}","{'key': 'rankdrop', 'value': 'no'}","{'key': 'newcomer', 'value': 'no'}","{'key': 'profitable', 'value': 'yes'}","{'key': 'ceofounder', 'value': 'no'}","{'key': 'ceoforeign', 'value': 'no'}","{'key': 'ceowoman', 'value': 'no'}","{'key': 'jobgrowth', 'value': 'yes'}","{'key': 'global500-y-n', 'value': 'yes'}","{'key': 'best-companies-y-n', 'value': 'no'}","{'key': 'worlds-most-admired-companies-y-n', 'value': 'yes'}","{'key': 'change-the-world-y-n', 'value': 'no'}","{'key': '100-fastest-growing-companies-y-n', 'value': 'no'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Kroger'}"
"{'key': 'rank', 'value': '256'}","{'key': 'revenues', 'value': '11211'}","{'key': 'revchange', 'value': '-2.1'}","{'key': 'profits', 'value': '884'}","{'key': 'prftchange', 'value': '16.1'}","{'key': 'assets', 'value': '15172'}","{'key': 'employees', 'value': '51250'}","{'key': 'mktval', 'value': '15771'}","{'key': 'sector', 'value': 'Household Products'}","{'key': 'industry', 'value': 'Home Equipment, Furnishings'}","{'key': 'hqcity', 'value': 'New Britain'}","{'key': 'hqstate', 'value': 'CT'}","{'key': 'rankgain', 'value': 'yes'}","{'key': 'rankdrop', 'value': 'no'}","{'key': 'newcomer', 'value': 'no'}","{'key': 'profitable', 'value': 'yes'}","{'key': 'ceofounder', 'value': 'no'}","{'key': 'ceoforeign', 'value': 'no'}","{'key': 'ceowoman', 'value': 'no'}","{'key': 'jobgrowth', 'value': 'yes'}","{'key': 'global500-y-n', 'value': 'no'}","{'key': 'best-companies-y-n', 'value': 'no'}","{'key': 'worlds-most-admired-companies-y-n', 'value': 'yes'}","{'key': 'change-the-world-y-n', 'value': 'no'}","{'key': '100-fastest-growing-companies-y-n', 'value': 'no'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Stanley Black &amp; Decker'}"
"{'key': 'rank', 'value': '345'}","{'key': 'revenues', 'value': '7904'}","{'key': 'revchange', 'value': '-7.2'}","{'key': 'profits', 'value': '355'}","{'key': 'prftchange', 'value': '-58.5'}","{'key': 'assets', 'value': '5680'}","{'key': 'employees', 'value': '25000'}","{'key': 'mktval', 'value': '10469'}","{'key': 'sector', 'value': 'Household Products'}","{'key': 'industry', 'value': 'Home Equipment, Furnishings'}","{'key': 'hqcity', 'value': 'Taylor'}","{'key': 'hqstate', 'value': 'MI'}","{'key': 'rankgain', 'value': 'no'}","{'key': 'rankdrop', 'value': 'yes'}","{'key': 'newcomer', 'value': 'no'}","{'key': 'profitable', 'value': 'yes'}","{'key': 'ceofounder', 'value': 'no'}","{'key': 'ceoforeign', 'value': 'no'}","{'key': 'ceowoman', 'value': 'no'}","{'key': 'jobgrowth', 'value': 'no'}","{'key': 'global500-y-n', 'value': 'no'}","{'key': 'best-companies-y-n', 'value': 'no'}","{'key': 'worlds-most-admired-companies-y-n', 'value': 'no'}","{'key': 'change-the-world-y-n', 'value': 'no'}","{'key': '100-fastest-growing-companies-y-n', 'value': 'no'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Masco'}"
"{'key': 'rank', 'value': '16'}","{'key': 'revenues', 'value': '110359'}","{'key': 'revchange', 'value': '-5.2'}","{'key': 'profits', 'value': '10954'}","{'key': 'prftchange', 'value': '-22.9'}","{'key': 'assets', 'value': '3221917'}","{'key': 'employees', 'value': '7300'}","{'key': 'mktval', 'value': '1621'}","{'key': 'sector', 'value': 'Financials'}","{'key': 'industry', 'value': 'Diversified Financials'}","{'key': 'hqcity', 'value': 'Washington'}","{'key': 'hqstate', 'value': 'DC'}","{'key': 'rankgain', 'value': 'yes'}","{'key': 'rankdrop', 'value': 'no'}","{'key': 'newcomer', 'value': 'no'}","{'key': 'profitable', 'value': 'yes'}","{'key': 'ceofounder', 'value': 'no'}","{'key': 'ceoforeign', 'value': 'no'}","{'key': 'ceowoman', 'value': 'no'}","{'key': 'jobgrowth', 'value': 'no'}","{'key': 'global500-y-n', 'value': 'yes'}","{'key': 'best-companies-y-n', 'value': 'no'}","{'key': 'worlds-most-admired-companies-y-n', 'value': 'no'}","{'key': 'change-the-world-y-n', 'value': 'no'}","{'key': '100-fastest-growing-companies-y-n', 'value': 'no'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Fannie Mae'}"
"{'key': 'rank', 'value': '255'}","{'key': 'revenues', 'value': '11257'}","{'key': 'revchange', 'value': '-3'}","{'key': 'profits', 'value': '151'}","{'key': 'prftchange', 'value': '28.7'}","{'key': 'assets', 'value': '7279'}","{'key': 'employees', 'value': '68400'}","{'key': 'mktval', 'value': '3424'}","{'key': 'sector', 'value': 'Media'}","{'key': 'industry', 'value': 'Publishing, Printing'}","{'key': 'hqcity', 'value': 'Chicago'}","{'key': 'hqstate', 'value': 'IL'}","{'key': 'rankgain', 'value': 'yes'}","{'key': 'rankdrop', 'value': 'no'}","{'key': 'newcomer', 'value': 'no'}","{'key': 'profitable', 'value': 'yes'}","{'key': 'ceofounder', 'value': 'no'}","{'key': 'ceoforeign', 'value': 'no'}","{'key': 'ceowoman', 'value': 'no'}","{'key': 'jobgrowth', 'value': 'yes'}","{'key': 'global500-y-n', 'value': 'no'}","{'key': 'best-companies-y-n', 'value': 'no'}","{'key': 'worlds-most-admired-companies-y-n', 'value': 'no'}","{'key': 'change-the-world-y-n', 'value': 'no'}","{'key': '100-fastest-growing-companies-y-n', 'value': 'no'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'R.R. Donnelley &amp; Sons'}"
"{'key': 'rank', 'value': '344'}","{'key': 'revenues', 'value': '7949'}","{'key': 'revchange', 'value': '-6.4'}","{'key': 'profits', 'value': '2035'}","{'key': 'prftchange', 'value': '-14.6'}","{'key': 'assets', 'value': '16336'}","{'key': 'employees', 'value': '9489'}","{'key': 'mktval', 'value': '23143'}","{'key': 'sector', 'value': 'Financials'}","{'key': 'industry', 'value': 'Securities'}","{'key': 'hqcity', 'value': 'San Mateo'}","{'key': 'hqstate', 'value': 'CA'}","{'key': 'rankgain', 'value': 'no'}","{'key': 'rankdrop', 'value': 'yes'}","{'key': 'newcomer', 'value': 'no'}","{'key': 'profitable', 'value': 'yes'}","{'key': 'ceofounder', 'value': 'no'}","{'key': 'ceoforeign', 'value': 'no'}","{'key': 'ceowoman', 'value': 'no'}","{'key': 'jobgrowth', 'value': 'yes'}","{'key': 'global500-y-n', 'value': 'no'}","{'key': 'best-companies-y-n', 'value': 'no'}","{'key': 'worlds-most-admired-companies-y-n', 'value': 'yes'}","{'key': 'change-the-world-y-n', 'value': 'no'}","{'key': '100-fastest-growing-companies-y-n', 'value': 'no'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Franklin Resources'}"
"{'key': 'rank', 'value': '254'}","{'key': 'revenues', 'value': '11272'}","{'key': 'revchange', 'value': '7.3'}","{'key': 'profits', 'value': '1404'}","{'key': 'prftchange', 'value': '108.6'}","{'key': 'assets', 'value': '25716'}","{'key': 'employees', 'value': '164000'}","{'key': 'mktval', 'value': '22289'}","{'key': 'sector', 'value': 'Hotels, Restaurants & Leisure'}","{'key': 'industry', 'value': 'Hotels, Casinos, Resorts'}","{'key': 'hqcity', 'value': 'McLean'}","{'key': 'hqstate', 'value': 'VA'}","{'key': 'rankgain', 'value': 'yes'}","{'key': 'rankdrop', 'value': 'no'}","{'key': 'newcomer', 'value': 'no'}","{'key': 'profitable', 'value': 'yes'}","{'key': 'ceofounder', 'value': 'no'}","{'key': 'ceoforeign', 'value': 'no'}","{'key': 'ceowoman', 'value': 'no'}","{'key': 'jobgrowth', 'value': 'yes'}","{'key': 'global500-y-n', 'value': 'no'}","{'key': 'best-companies-y-n', 'value': 'yes'}","{'key': 'worlds-most-admired-companies-y-n', 'value': 'yes'}","{'key': 'change-the-world-y-n', 'value': 'no'}","{'key': '100-fastest-growing-companies-y-n', 'value': 'no'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Hilton Worldwide Holdings'}"
"{'key': 'rank', 'value': '343'}","{'key': 'revenues', 'value': '7955'}","{'key': 'revchange', 'value': '2.8'}","{'key': 'profits', 'value': '879'}","{'key': 'prftchange', 'value': '7.2'}","{'key': 'assets', 'value': '30580'}","{'key': 'employees', 'value': '7943'}","{'key': 'mktval', 'value': '18505'}","{'key': 'sector', 'value': 'Energy'}","{'key': 'industry', 'value': 'Utilities: Gas and Electric'}","{'key': 'hqcity', 'value': 'Springfield'}","{'key': 'hqstate', 'value': 'MA'}","{'key': 'rankgain', 'value': 'yes'}","{'key': 'rankdrop', 'value': 'no'}","{'key': 'newcomer', 'value': 'no'}","{'key': 'profitable', 'value': 'yes'}","{'key': 'ceofounder', 'value': 'no'}","{'key': 'ceoforeign', 'value': 'no'}","{'key': 'ceowoman', 'value': 'no'}","{'key': 'jobgrowth', 'value': 'no'}","{'key': 'global500-y-n', 'value': 'no'}","{'key': 'best-companies-y-n', 'value': 'no'}","{'key': 'worlds-most-admired-companies-y-n', 'value': 'no'}","{'key': 'change-the-world-y-n', 'value': 'no'}","{'key': '100-fastest-growing-companies-y-n', 'value': 'no'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Eversource Energy'}"
"{'key': 'rank', 'value': '253'}","{'key': 'revenues', 'value': '11339'}","{'key': 'revchange', 'value': '1.9'}","{'key': 'profits', 'value': '1054'}","{'key': 'prftchange', 'value': '21.7'}","{'key': 'assets', 'value': '5792'}","{'key': 'employees', 'value': '40706'}","{'key': 'mktval', 'value': '26267'}","{'key': 'sector', 'value': 'Chemicals'}","{'key': 'industry', 'value': 'Chemicals'}","{'key': 'hqcity', 'value': 'Cleveland'}","{'key': 'hqstate', 'value': 'OH'}","{'key': 'rankgain', 'value': 'yes'}","{'key': 'rankdrop', 'value': 'no'}","{'key': 'newcomer', 'value': 'no'}","{'key': 'profitable', 'value': 'yes'}","{'key': 'ceofounder', 'value': 'no'}","{'key': 'ceoforeign', 'value': 'no'}","{'key': 'ceowoman', 'value': 'no'}","{'key': 'jobgrowth', 'value': 'yes'}","{'key': 'global500-y-n', 'value': 'no'}","{'key': 'best-companies-y-n', 'value': 'no'}","{'key': 'worlds-most-admired-companies-y-n', 'value': 'no'}","{'key': 'change-the-world-y-n', 'value': 'no'}","{'key': '100-fastest-growing-companies-y-n', 'value': 'no'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Sherwin-Williams'}"
"{'key': 'rank', 'value': '342'}","{'key': 'revenues', 'value': '7967'}","{'key': 'revchange', 'value': '10.4'}","{'key': 'profits', 'value': '931'}","{'key': 'prftchange', 'value': '19.7'}","{'key': 'assets', 'value': '6677'}","{'key': 'employees', 'value': '54911'}","{'key': 'mktval', 'value': '26553'}","{'key': 'sector', 'value': 'Retailing'}","{'key': 'industry', 'value': 'Specialty Retailers: Other'}","{'key': 'hqcity', 'value': 'Springfield'}","{'key': 'hqstate', 'value': 'MO'}","{'key': 'rankgain', 'value': 'yes'}","{'key': 'rankdrop', 'value': 'no'}","{'key': 'newcomer', 'value': 'no'}","{'key': 'profitable', 'value': 'yes'}","{'key': 'ceofounder', 'value': 'no'}","{'key': 'ceoforeign', 'value': 'no'}","{'key': 'ceowoman', 'value': 'no'}","{'key': 'jobgrowth', 'value': 'yes'}","{'key': 'global500-y-n', 'value': 'no'}","{'key': 'best-companies-y-n', 'value': 'no'}","{'key': 'worlds-most-admired-companies-y-n', 'value': 'no'}","{'key': 'change-the-world-y-n', 'value': 'no'}","{'key': '100-fastest-growing-companies-y-n', 'value': 'no'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': ""O'Reilly Automotive""}"
"{'key': 'rank', 'value': '341'}","{'key': 'revenues', 'value': '7997'}","{'key': 'revchange', 'value': '-6.7'}","{'key': 'profits', 'value': '281'}","{'key': 'prftchange', 'value': '-40.2'}","{'key': 'assets', 'value': '9777'}","{'key': 'employees', 'value': '15200'}","{'key': 'mktval', 'value': '10058'}","{'key': 'sector', 'value': 'Materials'}","{'key': 'industry', 'value': 'Packaging, Containers'}","{'key': 'hqcity', 'value': 'Broomfield'}","{'key': 'hqstate', 'value': 'CO'}","{'key': 'rankgain', 'value': 'no'}","{'key': 'rankdrop', 'value': 'yes'}","{'key': 'newcomer', 'value': 'no'}","{'key': 'profitable', 'value': 'yes'}","{'key': 'ceofounder', 'value': 'no'}","{'key': 'ceoforeign', 'value': 'no'}","{'key': 'ceowoman', 'value': 'no'}","{'key': 'jobgrowth', 'value': 'yes'}","{'key': 'global500-y-n', 'value': 'no'}","{'key': 'best-companies-y-n', 'value': 'no'}","{'key': 'worlds-most-admired-companies-y-n', 'value': 'yes'}","{'key': 'change-the-world-y-n', 'value': 'no'}","{'key': '100-fastest-growing-companies-y-n', 'value': 'no'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Ball'}"
"{'key': 'rank', 'value': '252'}","{'key': 'revenues', 'value': '11341'}","{'key': 'revchange', 'value': '2.4'}","{'key': 'profits', 'value': '408'}","{'key': 'prftchange', 'value': '-82.2'}","{'key': 'assets', 'value': '218250'}","{'key': 'employees', 'value': '7000'}","{'key': 'mktval', 'value': '6200'}","{'key': 'sector', 'value': 'Financials'}","{'key': 'industry', 'value': 'Diversified Financials'}","{'key': 'hqcity', 'value': 'New York'}","{'key': 'hqstate', 'value': 'NY'}","{'key': 'rankgain', 'value': 'yes'}","{'key': 'rankdrop', 'value': 'no'}","{'key': 'newcomer', 'value': 'no'}","{'key': 'profitable', 'value': 'yes'}","{'key': 'ceofounder', 'value': 'no'}","{'key': 'ceoforeign', 'value': 'no'}","{'key': 'ceowoman', 'value': 'no'}","{'key': 'jobgrowth', 'value': 'yes'}","{'key': 'global500-y-n', 'value': 'no'}","{'key': 'best-companies-y-n', 'value': 'no'}","{'key': 'worlds-most-admired-companies-y-n', 'value': 'no'}","{'key': 'change-the-world-y-n', 'value': 'no'}","{'key': '100-fastest-growing-companies-y-n', 'value': 'no'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Voya Financial'}"
"{'key': 'rank', 'value': '251'}","{'key': 'revenues', 'value': '11381'}","{'key': 'revchange', 'value': '15'}","{'key': 'profits', 'value': '507'}","{'key': 'prftchange', 'value': '5.7'}","{'key': 'assets', 'value': '25357'}","{'key': 'employees', 'value': '41400'}","{'key': 'mktval', 'value': '9908'}","{'key': 'sector', 'value': 'Materials'}","{'key': 'industry', 'value': 'Packaging, Containers'}","{'key': 'hqcity', 'value': 'Richmond'}","{'key': 'hqstate', 'value': 'VA'}","{'key': 'rankgain', 'value': 'yes'}","{'key': 'rankdrop', 'value': 'no'}","{'key': 'newcomer', 'value': 'no'}","{'key': 'profitable', 'value': 'yes'}","{'key': 'ceofounder', 'value': 'no'}","{'key': 'ceoforeign', 'value': 'no'}","{'key': 'ceowoman', 'value': 'no'}","{'key': 'jobgrowth', 'value': 'yes'}","{'key': 'global500-y-n', 'value': 'no'}","{'key': 'best-companies-y-n', 'value': 'no'}","{'key': 'worlds-most-admired-companies-y-n', 'value': 'yes'}","{'key': 'change-the-world-y-n', 'value': 'no'}","{'key': '100-fastest-growing-companies-y-n', 'value': 'no'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'WestRock'}"
"{'key': 'rank', 'value': '340'}","{'key': 'revenues', 'value': '8020'}","{'key': 'revchange', 'value': '-2.7'}","{'key': 'profits', 'value': '572'}","{'key': 'prftchange', 'value': '30.4'}","{'key': 'assets', 'value': '10696'}","{'key': 'employees', 'value': '26200'}","{'key': 'mktval', 'value': '8051'}","{'key': 'sector', 'value': 'Apparel'}","{'key': 'industry', 'value': 'Apparel'}","{'key': 'hqcity', 'value': 'New York'}","{'key': 'hqstate', 'value': 'NY'}","{'key': 'rankgain', 'value': 'yes'}","{'key': 'rankdrop', 'value': 'no'}","{'key': 'newcomer', 'value': 'no'}","{'key': 'profitable', 'value': 'yes'}","{'key': 'ceofounder', 'value': 'no'}","{'key': 'ceoforeign', 'value': 'no'}","{'key': 'ceowoman', 'value': 'no'}","{'key': 'jobgrowth', 'value': 'yes'}","{'key': 'global500-y-n', 'value': 'no'}","{'key': 'best-companies-y-n', 'value': 'no'}","{'key': 'worlds-most-admired-companies-y-n', 'value': 'yes'}","{'key': 'change-the-world-y-n', 'value': 'no'}","{'key': '100-fastest-growing-companies-y-n', 'value': 'no'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'PVH'}"
